global_distress_mean,global_distress_max,global_distress_std,pain_index_mean,pain_index_max,pain_index_std,fear_index_mean,fear_index_max,fear_index_std,fatigue_index_mean,fatigue_index_max,fatigue_index_std,agitation_index_mean,agitation_index_max,agitation_index_std,tension_index_mean,tension_index_max,tension_index_std,respiratory_index_mean,respiratory_index_max,respiratory_index_std,gaze_variance_mean,gaze_variance_max,fixation_duration_mean,fixation_duration_max,recent_saccades_mean,recent_saccades_max,mean_gaze_speed_mean,mean_gaze_speed_max,max_gaze_speed_mean,max_gaze_speed_max,eye_contact_ratio_mean,eye_contact_ratio_max,face_confidence_mean,face_confidence_min,episode_pain_count,episode_agitation_count,episode_fatigue_count,episode_fear_count,episode_eye_closure_count,alert_ratio,scanning_ratio,eye_closed_ratio,window_start,window_end
41.5094,49.67,4.216003424154589,52.672666666666665,67.13,8.009812997227794,34.56333333333333,49.57,7.829889185246739,51.2228,83.95,17.30319426304571,21.454933333333333,48.8,6.53918870516062,54.83966666666667,59.85,3.3351575265749216,15.039399999999999,17.66,1.545424608797372,0.17814533333333335,0.2483,0.0008886666666666667,0.0667,28.52,51,0.094332,0.1131,0.3986000000000001,0.5033,0.3933806666666667,0.7692,0.7130399999999999,0.0,36,0,12,0,0,0.09333333333333334,0.5733333333333334,0.3333333333333333,0,150
39.833,49.67,3.2120372907310677,51.810266666666664,67.13,6.430840431331183,35.096066666666665,47.08,6.938399318012539,43.663333333333334,77.58,13.798218281375757,17.31426666666666,40.52,3.9232373200395654,56.8232,59.98,3.035685148718103,16.0644,18.95,1.0923931489836014,0.19702266666666668,0.2475,0.03133333333333333,0.4667,40.98,52,0.09061266666666667,0.1071,0.4938566666666668,0.5033,0.35372133333333333,0.4554,0.7733,0.0,20,0,0,0,0,0.0,0.8333333333333334,0.16666666666666666,75,225
39.55486666666666,47.63,2.3654821256566056,51.99046666666666,67.22,5.162665969728122,35.528066666666675,52.25,6.877202168029907,39.00833333333333,71.7,10.717444878344741,19.089466666666667,46.83,5.885818559582948,57.76506666666667,59.99,2.8353548708843967,15.380466666666665,18.95,1.5483757831984863,0.167028,0.2244,0.03133333333333333,0.4667,36.733333333333334,52,0.07838533333333333,0.0953,0.4743380000000002,0.5596,0.38409933333333335,0.4554,0.75982,0.415,73,0,0,0,0,0.0,0.88,0.12,150,300
42.96613333333333,53.7,4.270367663574521,53.01773333333333,75.47,7.142811578352594,37.839733333333335,59.88,9.180207330982293,39.679133333333326,67.81,12.232423080143734,27.189400000000003,74.09,12.54284829142667,56.99053333333333,59.99,3.1648246633720714,30.04653333333333,56.33,18.302696467151502,0.20115200000000003,0.2847,0.0,0.0,35.833333333333336,44,0.08156466666666667,0.1028,0.5673213333333335,0.7541,0.37539800000000006,0.4513,0.6843666666666667,0.0,76,0,0,0,0,0.0,0.8066666666666666,0.19333333333333333,225,375
44.424600000000005,53.7,3.17641595124159,52.0306,75.47,7.02515635308104,38.4258,59.88,9.034117753488307,38.294066666666666,67.81,12.568289387037963,27.01766666666667,74.09,12.675306936260425,56.6772,59.96,3.4663701921065546,49.85193333333333,56.33,10.410550707613607,0.25127999999999995,0.2847,0.0,0.0,40.8,48,0.09502466666666667,0.1052,0.7216833333333335,0.7541,0.34034200000000003,0.3654,0.6795466666666667,0.0,23,0,0,0,0,0.0,0.82,0.18,300,450
41.9798,50.79,2.810891441871524,49.2228,64.95,6.4191245425382935,38.6002,77.58,9.598625283981132,34.769733333333335,67.52,11.205994797049428,25.078533333333336,76.48,11.626313212204348,57.280866666666675,59.98,3.2085767897402664,42.560199999999995,56.1,15.016561124752325,0.22180666666666668,0.2824,0.0,0.0,43.153333333333336,48,0.09991933333333333,0.1066,0.7900986666666668,0.9761,0.331932,0.3537,0.6668999999999999,0.0,52,0,0,0,0,0.0,0.88,0.12,375,525
40.693,50.79,2.754107792288389,48.59573333333333,63.67,6.291844657185728,39.936866666666674,77.58,9.356434037685831,33.37933333333333,67.42,10.209922181974193,23.880133333333337,76.48,12.138313018501503,57.58733333333335,59.99,2.893825796500572,33.46193333333333,54.97,9.89839087300155,0.22079866666666664,0.2624,0.0,0.0,43.22,49,0.10251533333333333,0.1128,0.9010986666666667,0.9761,0.32382133333333335,0.3362,0.6657866666666666,0.0,52,0,0,3,0,0.0,0.9066666666666666,0.09333333333333334,450,600
39.85359999999999,47.34,2.3084898111219143,48.938199999999995,68.0,4.719544692804863,39.337333333333326,51.08,6.933806073626999,31.939466666666668,66.12,9.23826734871123,18.7688,45.61,5.728878911610248,58.48973333333333,60.0,2.047283007707174,33.700199999999995,40.83,7.101416294131076,0.24129400000000004,0.2624,0.0,0.0,39.013333333333335,49,0.09966333333333334,0.1128,0.9554199999999999,0.9761,0.31899866666666665,0.3315,0.73248,0.0,12,0,0,3,0,0.0,0.94,0.06,525,675
38.65966666666667,47.87,2.5712881415615643,49.043866666666666,68.89,4.978960942068116,39.781666666666666,50.66,6.4460978692921005,31.089533333333335,66.43,9.773516766348893,17.918066666666668,34.95,3.545176834443105,59.080733333333335,60.0,1.6879736856097496,22.682666666666666,40.83,11.132502065444967,0.19556733333333337,0.2578,0.0,0.0,32.486666666666665,38,0.08932066666666667,0.1003,0.8507846666666666,0.9761,0.3167466666666667,0.3314,0.7397733333333332,0.692,20,0,0,0,0,0.0,0.94,0.06,600,750
38.008133333333326,47.87,2.629450752014704,49.251333333333335,68.89,5.553812242510178,40.37513333333334,51.32,6.943610237942891,30.766866666666665,66.43,10.628724606490959,18.624666666666666,29.08,3.1636812018918055,59.11946666666665,59.99,1.6090014355763642,13.92933333333333,17.53,0.9724497997199607,0.17374,0.2046,0.0,0.0,30.153333333333332,34,0.08628533333333334,0.0961,0.8058146666666668,0.8448,0.30755533333333335,0.3314,0.7294733333333333,0.673,25,0,0,0,0,0.0,0.9133333333333333,0.08666666666666667,675,825
