global_distress_mean,global_distress_max,global_distress_std,pain_index_mean,pain_index_max,pain_index_std,fear_index_mean,fear_index_max,fear_index_std,fatigue_index_mean,fatigue_index_max,fatigue_index_std,agitation_index_mean,agitation_index_max,agitation_index_std,tension_index_mean,tension_index_max,tension_index_std,respiratory_index_mean,respiratory_index_max,respiratory_index_std,gaze_variance_mean,gaze_variance_max,fixation_duration_mean,fixation_duration_max,recent_saccades_mean,recent_saccades_max,mean_gaze_speed_mean,mean_gaze_speed_max,max_gaze_speed_mean,max_gaze_speed_max,eye_contact_ratio_mean,eye_contact_ratio_max,face_confidence_mean,face_confidence_min,episode_pain_count,episode_agitation_count,episode_fatigue_count,episode_fear_count,episode_eye_closure_count,alert_ratio,scanning_ratio,eye_closed_ratio,window_start,window_end
46.67133333333333,57.74,6.694825074193441,61.929600000000015,78.44,11.19017713302414,36.86613333333333,46.97,3.7947135228311955,65.82873333333335,92.19,16.963652192267553,14.034733333333334,19.34,1.7561912329050153,55.44153333333333,59.94,6.174017948881394,19.421200000000002,25.45,3.3234828339636424,0.320518,0.4913,0.07377733333333333,0.8,30.473333333333333,60,0.13395,0.1842,0.887426666666667,1.3842,0.27585333333333334,0.6364,0.7974533333333333,0.0,79,0,72,0,45,0.07333333333333333,0.34,0.5866666666666667,0,150
43.2724,56.51,6.675398857449663,56.21606666666668,79.09,11.722228920645124,36.75466666666667,46.97,4.284746735354349,59.714533333333335,92.19,14.423986481634381,13.771799999999997,19.47,1.785915466558055,52.3678,59.95,7.765275387191762,18.238,26.47,4.257361567541396,0.43550999999999995,0.5147,0.10066666666666667,0.8,50.473333333333336,64,0.151426,0.1842,1.316698666666667,1.3842,0.3554573333333333,0.4622,0.82198,0.777,60,0,43,0,20,0.0,0.6133333333333333,0.38666666666666666,75,225
45.7322,56.51,7.03875245104657,60.27799999999999,79.09,11.97365267532267,36.474466666666665,44.65,3.1860251764629743,64.14453333333334,85.57,15.233290222037205,14.615999999999998,21.03,1.6966662930780212,54.52293333333333,59.98,7.462297498442237,18.973133333333337,26.47,3.9222699455451906,0.4683613333333334,0.5147,0.05377733333333333,0.7,50.666666666666664,64,0.13604733333333333,0.1665,1.3732473333333337,1.3842,0.4033946666666667,0.4716,0.8095933333333333,0.776,59,0,41,0,0,0.0,0.49333333333333335,0.5066666666666667,150,300
45.422000000000004,54.26,6.830036406596691,59.74533333333333,73.99,11.361157934809583,37.07573333333333,44.65,3.8495008561063226,62.960933333333344,83.38,17.06437957060713,14.242533333333334,21.03,1.839141609908693,55.59246666666666,59.98,5.86464551606342,18.099666666666664,22.68,2.658493395979257,0.278722,0.4639,0.036444,0.7,43.85333333333333,57,0.10358733333333335,0.1351,1.089704,1.3842,0.4420706666666666,0.4854,0.8144,0.776,92,0,35,0,0,0.0,0.48,0.52,225,375
44.28926666666666,53.16,5.62631796302245,57.985733333333336,73.56,9.293963354120807,36.44813333333334,43.86,4.414036547177767,60.033733333333345,82.27,14.295847688628518,14.10333333333333,18.01,1.9899727382256853,56.01,59.96,5.2858579208801615,18.054333333333332,21.47,2.1607652809948084,0.13129,0.3592,0.016666666666666666,0.3667,52.48,69,0.11880533333333335,0.1645,0.9292066666666668,1.1495,0.44067799999999996,0.4854,0.8178133333333333,0.775,147,0,71,0,0,0.0,0.48,0.52,300,450
45.227066666666666,54.08,6.541584844470408,59.88533333333333,75.8,11.077885744703586,35.56346666666666,44.71,4.698503972480852,63.011066666666665,82.27,15.812209968549162,14.5598,18.06,1.7172838199088718,54.56933333333333,59.96,7.1220013274554645,18.399533333333334,24.42,3.0456699016617255,0.18418666666666664,0.2725,0.03888866666666666,0.5,64.66,69,0.15408333333333335,0.1665,1.0392839999999997,1.0413,0.4344373333333334,0.4649,0.8112133333333333,0.775,76,0,76,0,0,0.0,0.4266666666666667,0.5733333333333334,375,525
47.253600000000006,54.96,7.8494790388412445,63.80686666666667,77.3,13.678768103441936,35.29866666666666,44.71,4.715094946863937,67.29093333333334,82.72,18.379410472710617,13.690199999999999,18.06,1.3184409493461402,55.11926666666666,59.96,7.0178545160859915,19.67053333333333,25.9,4.319271437860208,0.206326,0.2788,0.03888866666666667,0.5,65.02,69,0.153878,0.1665,1.02338,1.0413,0.4262986666666666,0.4649,0.8213600000000001,0.79,73,0,73,0,0,0.0,0.36666666666666664,0.6333333333333333,450,600
47.74913333333334,54.96,7.252221037868532,64.0178,77.3,13.131091229310808,35.5226,44.44,4.712063545736666,68.16613333333332,82.72,18.09047447768412,13.036933333333334,16.68,1.1962053799251902,58.444266666666664,59.93,2.6168104840854807,19.8936,25.9,3.7962733899189494,0.168036,0.2788,0.006222,0.2333,64.64,69,0.14833133333333332,0.1616,1.003946,1.0161,0.4157773333333333,0.4387,0.8314733333333334,0.814,76,0,76,0,0,0.0,0.36,0.64,525,675
44.985200000000006,54.41,6.856198559301193,58.507933333333334,75.87,12.56181046972947,38.5108,48.73,5.554491564212943,59.78746666666666,82.43,18.73435759808634,13.707466666666665,18.67,1.545028913813271,58.18579999999999,59.97,3.5434626961765283,18.876800000000003,23.83,2.914419674698285,0.14017533333333335,0.1707,0.040222,0.5667,61.56,69,0.13569466666666666,0.1511,0.9394040000000003,0.9984,0.41789666666666664,0.4387,0.82464,0.777,76,0,54,0,0,0.0,0.58,0.42,600,750
44.907133333333334,54.41,5.61321192392629,57.938133333333326,75.87,10.54568828757104,40.065466666666666,50.99,5.464086233888028,55.63706666666666,82.43,15.397713355323475,16.287,28.45,3.060376506643604,58.25286666666667,59.97,3.761605100900816,20.046266666666668,24.92,3.1101044559740036,0.1937813333333333,0.3203,0.042222,0.6333,60.38666666666666,70,0.13760866666666668,0.1652,1.0279200000000004,1.2018,0.41441666666666666,0.4335,0.7980999999999999,0.729,69,0,54,0,0,0.0,0.7666666666666667,0.23333333333333334,675,825
43.9422,53.82,5.15726422845947,56.168066666666675,73.74,9.592634597388543,40.61820000000001,51.57,5.733760501619587,52.823933333333336,81.07,13.826231119701113,17.016000000000002,28.45,2.770005209211781,57.632,59.91,4.186754280990941,19.51213333333333,24.92,3.0504722016835113,0.23702333333333334,0.3203,0.038444000000000006,0.6333,58.14,70,0.14178866666666667,0.1652,1.1886160000000006,1.2018,0.42738400000000004,0.4474,0.7874200000000001,0.729,22,0,41,2,0,0.0,0.8266666666666667,0.17333333333333334,750,900
46.0838,54.81,6.0092044242212745,60.57933333333333,76.49,11.14917191776598,38.852533333333334,51.57,5.127882091780542,59.30553333333333,78.89,15.652666755517545,15.681799999999999,28.06,1.7286655713926047,58.11899999999999,59.95,3.8655221392970938,19.929000000000002,24.39,2.4328235729112686,0.21887533333333337,0.2755,0.030222000000000002,0.5333,56.306666666666665,67,0.12704333333333334,0.1569,0.9812000000000002,1.2018,0.42724666666666666,0.4474,0.7938866666666666,0.492,97,0,22,2,0,0.0,0.5666666666666667,0.43333333333333335,825,975
46.361066666666666,55.17,6.223132764526376,60.675866666666664,77.55,12.319276006502362,39.727666666666664,66.59,8.263076309068278,59.46886666666666,78.59,17.270850973180437,16.698333333333334,34.42,3.323052372345526,57.983666666666664,59.95,4.025976961207059,19.418066666666668,24.71,3.2229928349777124,0.2055686666666667,0.2236,0.0,0.0,60.67333333333333,70,0.12379133333333334,0.1522,0.7247426666666664,1.2018,0.414358,0.4295,0.7862333333333333,0.492,100,0,21,1,0,0.0,0.5,0.5,900,1050
44.088,55.45,6.314957635082433,56.228,80.34,13.3668675834426,42.72346666666667,66.75,10.153875180942329,52.57346666666667,78.59,17.517334080010393,17.285466666666665,34.42,3.9676966737459387,57.047133333333335,59.95,4.379763460357202,18.1616,26.77,3.851747634376657,0.20125733333333334,0.2728,0.0,0.0,52.2,70,0.11376933333333333,0.1401,0.7466959999999999,1.191,0.41324866666666665,0.4233,0.7854266666666667,0.7,76,0,37,10,0,0.0,0.6266666666666667,0.37333333333333335,975,1125
